Lnumber,LID_CSV,LitList_en,LitList_jp,Link
82,L00017,"Chen, C.-C., Golovatch, S. I. and Chang, H.-W. (2006) The millipede tribe Nedyopodini, with special reference to the fauna of Taiwan (Diplopoda: Polydesmida: Paradoxosomatidae). Journal of Natural History, 39(47): 3997–4030.",,https://doi.org/10.1080/00222930600556112
83,L01380,"Chen, C.-C., Golovatch, S. I. and Chang, H.-W. (2006) The millipede tribe Sulciferini in Taiwan (Diplopoda: Polydesmida: Paradoxosomatidae). Norwegian Journal of Entomology, 53: 249–270.",,
84,L01376,"Chen, C.-C., Golovatch, S. I. and Chang, H.-W. (2008) Identity of the East Asian millipede <i>Habrodesmus inexpectatus</i> Attems, 1944 (Diplopoda: Polydesmida: Paradoxosomatidae). Journal of Natural History, 42(39–40): 2547–2556.",,https://doi.org/10.1080/00222930802354118
85,L00307,"Chen, C.-C., Golovatch, S. I. and Chang, H.-W. (2010) Revision of the endemic Taiwanese millipede genus <i>Aponedyopus</i> Verhoeff, 1939, with descriptions of two new species (Diplopoda, Polydesmida, Paradoxosomatidae). Advances in the systematica of Diplopoda III. ZooKeys, 72: 1–21.",,https://doi.org/10.3897/zookeys.72.743
86,L01217,"Chen, C.-C., Golovatch, S. I. and Chang, H.-W. (2011) The genus <i>Inversispina</i> Zhang, in Zhang, Wang et Zhang, 1977, new to the millipede fauna of Taiwan, with the description of a new species (Diplopoda: Polydesmida: Paradoxosomatidae: Alogolykinae). Arthropoda Selecta, 20(4): 251–257.",,https://doi.org/10.15298/arthsel.20.4.01
87,L00016,"Chen, C.-C., Golovatch, S. I., Chang, H.-W. and Chen, S.-H. (2011) Revision of the Taiwanese millipede genus <i>Chamberlinius</i> Wang, 1956, with descriptions of two new species and a reclassification of the tribe Chamberlinini (Diplopoda, Polydesmida, Paradoxosomatidae, Paradoxosomatinae). ZooKey, 98: 1–27.",,https://doi.org/10.3897/zookeys.98.1183
88,L01385,"Chen, C.-C., Golovatch, S. I., Mikhaljova, E. V. and Chang, H.-W. (2010) The millipede genus <i>Anoplodesmus</i> Pocock, 1895, recorded in Taiwan for the first time, with descriptions of two new species (Diplopoda: Polydesmida: Paradoxosomatidae: Sulciferini). Zootaxa, 2399(1): 20–30.",,https://doi.org/10.11646/zootaxa.2399.1.2
89,L01635,"Chen, H.-M., Zheng, C.-B. and Jiang, X.-K. (2023) The millipedes (Diplopoda) in Yintiaoling National Natural Reserve, Southwest China. Zootaxa, 5257(1): 49–81.",,https://doi.org/10.11646/zootaxa.5257.1.6
90,L01874,"Chen, J. and Zhang, C. (1990) [A cave-dwelling new species of the diplopod genus <i>Epanerchodus</i> from Guizhou Province (Polydesmida: Polydesmidae)]. Acta Zootaxonomica Sinica, 15(4): 406–408.",,
91,L01823,"Chen, R., Yi, Z., Golovatch, S. I., Liu, W. (2024) Molecular phylogenetic and morphological studies reveal increased species diversity in the millipede genus <i>Skleroprotopus</i> Attems, 1901 in China (Julida: Mongoliulidae). Arthropod Systematics & Phylogeny, 82: 659–691.",,https://doi.org/10.3897/asp.82.e136751
92,L01872,"Chen, T.-Y., Jiang, C. and Huang, L.-Q. (2023) A new species of <i>Otostigmus</i> (Chilopoda, Scolopendromorpha, Scolopendridae) from China, with remarks on the phylogenetic relationships of <i>Otostigmus politus</i> Karsch, 1881. ZooKeys, 1168: 161–178.",,https://doi.org/10.3897/zookeys.1168.82750
93,L01196,"Chiba, Y. (1972) [Activity rhythms of the centipede <i>Thereuopoda clunifera</i>]. Zoological Magazine, 81(4): 411–412.","千葉 喜彦 (1972) オオゲジの活動リズム. 動物学雑誌, 81(4): 411–412.",https://dl.ndl.go.jp/info:ndljp/pid/10845845
94,L01197,"Chiba, Y. (1973) Activity rhythms in a milliped[sic] <i>Thereuopoda ferox</i>. II. Comparison of circadian rhythms in winter and summer millipeds[sic]. Zoological Magazine, 82(4): 314.","千葉 喜彦 (1973) カマクラオオゲジの活動リズム II. 洞穴外個体（夏）と洞穴内個体（冬）のサーカデアン・リズムの比較. 動物学雑誌, 82(4): 314.",https://dl.ndl.go.jp/info:ndljp/pid/10846185
95,L00262,"Chigira, Y. and Tanaka, S. (2004) Brief Notes on Arachnids, Centipedes and Millipedes in Kohamajima Island, the Yaeyama Islands. Survey Reports on Natural History, History and Culture of Kohamajima Island, Okinawa Prefectural Museum, 13–19.","千木良 芳範・田中 聡 (2004) 小浜島で確認された蜘蛛形類、唇脚類および倍脚類について. 小浜島総合調査報告書、沖縄県立博物館, 13–19.",https://okimu.jp/research/report/
96,L01722,"Chikami, Y. and Yahata, K. (2019) Comparative morphology of ovarian follicle in two polydesmid millipedes: evolutionary implication of folded structure of follicle epithelium in Polydesmida (Myriapoda: Diplopoda) . Proceedings of the Arthropodan Embryological Society of Japan, 52: 1–9.",,http://aesj.co-site.jp/vol52.html
97,L01723,"Chikami, Y. and Yahata, K. (2019) Histological study of the ovarian follicle epithelium in <i>Hyleoglomeris</i> (Diplopoda, Glomerida, Glomeridae): Two subpopulations in the follicle epithelial cells. Proceedings of the Arthropodan Embryological Society of Japan, 52: 15–18.",,http://aesj.co-site.jp/vol52.html
98,L01721,"Chikami, Y. and Yahata, K. (2024) The structural and functional modularity of ovarian follicle epithelium in the pill-millipede <i>Hyleoglomeris japonica</i> Verhoeff, 1936 (Diplopoda: Glomerida: Glomeridae). Tissue and Cell, 88: 102372.",,https://doi.org/10.1016/j.tice.2024.102372
99,L01381,"Chiyoda, S., Oguchi, K. and Miura, T. (2023) Appearance of a transparent protrusion containing two pairs of legs on the apodous ring preceding the anamorphic molt in a millipede, <i>Niponia nodulosa</i>. Frontiers in Zoology, 20: 14.",,https://doi.org/10.1186/s12983-023-00493-0
100,L01788,"Chiyoda, S. and Yao, A. (2024) A new distributional record of the alien millipede introduced from Taiwan, <i>Chamberlinius hualienensis</i> (Polydesmida: Paradoxosomatidae), from Aoga-shima Island, Izu Islands. Medical Entomology and Zoology, 75(3): 185–187.","千代田 創真・八尾 晃史 (2024) 台湾原産の外来種であるヤンバルトサカヤスデの伊豆諸島青ヶ島からの記録. 衛生動物, 75(3): 185–187.",https://doi.org/10.7601/mez.75.185
101,L01438,"Chung, K.-H. and Moon, M.-J. (2006) Fine structure of the antennal sensilla of the millipede <i>Orthomorphella pekuensis</i> (Polydesmida: Paradoxosomatidae). Entomological Research, 36(3): 172–178.",,https://doi.org/10.1111/j.1748-5967.2006.00029.x
102,L01435,"Chung, K.-H. and Moon, M.-J. (2006) Antennal sensory organs in the female millipede <i>Orthomorphella pekuensis</i> (Polydesmida: Paradoxosomatidae). Integrative Biosciences, 10(4): 183–189.",,https://doi.org/10.1080/17386357.2006.9647300
103,L01439,"Chung, K.-H. and Moon, M.-J. (2008) Microstructure of the adhesive pad in the millipede <i>Orthomorphella pekuensis</i> (Polydesmida: Paradoxosomatidae). Entomological Research, 38(3): 216–220.",,https://doi.org/10.1111/j.1748-5967.2008.00164.x
104,L01569,"Colmagro, R., Minelli, A., Paludetti, G. and Rasotto, M. B. (1986) Chromosome studies in centipedes (Chilopoda). Caryologia, 39(3–4): 309–323.",,https://doi.org/10.1080/00087114.1986.10797793
105,L01801,"Cook, O. F. (1896) Note on the classification of Diplopoda. The American Naturalist, 30(356): 681–684.",,https://www.journals.uchicago.edu/toc/an/1896/30/356
106,L01338,"Cook, O. F. (1896) Brandtia; a series of occasional papers on Diplopoda and other Arthropoda. 52 pp.",,https://www.biodiversitylibrary.org/item/217781#page/5
107,L01796,"Cope, E. D. (1869) Seventh contribution to the herpetology of tropical America. Proceedings of the American Philosophical Society, 11(81): 147–192.",,https://www.jstor.org/stable/981453
108,L01564,"Crabill, R. E. (1959) A new centipede from Okinawa (Chilopoda: Oryidae). Pacific Insects, 1(2–3): 173–176.",,
109,L01565,"Crabill, R. E. (1968) On the true identities of <i>Tuoba</i> and <i>Nesogeophilus</i>. Proceedings of the Entomological Society of Washington, 70(4): 345.",,
110,L01354,"Curtis, J. (1845) Observations on the Natural History and Economy of the insects called wireworms, affecting the Turnips, Corn-Crops, &c.; also of their parents the elaters of beetles, called skip-jacks, click-beetles, &c. Journal of the Royal Agricultural Society of England, 5(1): 180–237.",,
